0;2018-09-04;180010000;050;050;050;050;050;050;050;050;050;050;050;ชำระแล้ว;
0;2018-09-04;180010000;050;050;050;050;050;050;050;050;050;050;050;ชำระแล้ว;
1;2018-09-04;180010001;150;150;150;150;150;150;150;150;150;150;150;ชำระแล้ว;
0;2018-09-04;180010000;050;050;050;050;050;050;050;050;050;050;050;ชำระแล้ว;
1;2018-09-04;180010001;150;150;150;150;150;150;150;150;150;150;150;ชำระแล้ว;
2;2018-09-04;180010002;250;250;250;250;250;250;250;250;250;250;250;ชำระแล้ว;
0;2018-09-04;180010000;050;050;050;050;050;050;050;050;050;050;050;ชำระแล้ว;
1;2018-09-04;180010001;150;150;150;150;150;150;150;150;150;150;150;ชำระแล้ว;
2;2018-09-04;180010002;250;250;250;250;250;250;250;250;250;250;250;ชำระแล้ว;
3;2018-09-04;180010003;350;350;350;350;350;350;350;350;350;350;350;ชำระแล้ว;
0;2018-09-04;180010000;050;050;050;050;050;050;050;050;050;050;050;ชำระแล้ว;
1;2018-09-04;180010001;150;150;150;150;150;150;150;150;150;150;150;ชำระแล้ว;
2;2018-09-04;180010002;250;250;250;250;250;250;250;250;250;250;250;ชำระแล้ว;
3;2018-09-04;180010003;350;350;350;350;350;350;350;350;350;350;350;ชำระแล้ว;
4;2018-09-04;180010004;450;450;450;450;450;450;450;450;450;450;450;ชำระแล้ว;
